category	time	position	Fst	pi	Dxy	T
swp	0	510000	0.058449845728	0.0002648344992	1.76842130958816e-05	20
neu	1	510000	0.05752668572	0.0002694821336	1.8109869396429e-05	40
swp	1	510000	0.07820904762	0.0002554747036	2.36027622925677e-05	40
neu	2	510000	0.05903054544	0.000269836505	1.89923828178992e-05	60
swp	2	510000	0.09987452486	0.0002429472056	3.1074853903276e-05	60
neu	3	510000	0.05724746666	0.0002683182542	1.80206517605526e-05	80
swp	3	510000	0.11311510404	0.0002384829498	3.5003750064421e-05	80
neu	4	510000	0.05742317078	0.0002685570254	1.77856214803902e-05	100
swp	4	510000	0.11557704808	0.00023699138	3.59102713058038e-05	100
neu	5	510000	0.0575758657334669	0.000270332186573146	1.83349478225887e-05	200
swp	5	510000	0.120823460822	0.000237289972	3.730660613862e-05	200
neu	6	510000	0.0576308670741483	0.000268522223847695	1.8376886203291e-05	300
swp	6	510000	0.11975547694	0.0002387438628	3.66665865129453e-05	300
neu	7	510000	0.056180118496994	0.000268155823246493	1.73320835215707e-05	400
swp	7	510000	0.12401876948	0.0002395615466	3.72055628575915e-05	400
neu	8	510000	0.058030587755511	0.000267379969739479	1.79769215106716e-05	500
swp	8	510000	0.12705545629	0.000239536672	3.87023215073418e-05	500
neu	0	530000	0.0583321132531	0.0002752398342	1.7990557851868e-05	20
swp	0	530000	0.053927652242	0.0002594408932	1.63294719520299e-05	20
neu	1	530000	0.057271263176	0.0002748814802	1.72441930038761e-05	40
swp	1	530000	0.0713279307	0.000249259517	2.15688770991115e-05	40
neu	2	530000	0.0574736417206	0.0002747467354	1.77215874298891e-05	60
swp	2	530000	0.092571932734	0.0002376750806	2.80022316132095e-05	60
neu	3	530000	0.05681890222	0.000274435704	1.71452324361962e-05	80
swp	3	530000	0.10315290544	0.0002327348366	3.1181795970547e-05	80
neu	4	530000	0.0568076928	0.0002746727992	1.71051216429538e-05	100
swp	4	530000	0.10514134084	0.0002305997746	3.19255015823211e-05	100
neu	5	530000	0.0555762837675351	0.000273256114028056	1.68566680378578e-05	200
swp	5	530000	0.11418729504	0.0002307839142	3.37846499849609e-05	200
neu	6	530000	0.0558938517234469	0.00027119225490982	1.65442999491215e-05	300
swp	6	530000	0.1191870402	0.0002329512038	3.60528382563855e-05	300
neu	7	530000	0.0546726811442886	0.000269558374148297	1.63962883812378e-05	400
swp	7	530000	0.12297408394	0.0002329240102	3.67180401613068e-05	400
neu	8	530000	0.0553681701002004	0.000269644037675351	1.63972875777231e-05	500
swp	8	530000	0.125103267986	0.0002358028944	3.69475761274983e-05	500
neu	0	550000	0.05711839828	0.0002690922938	1.75558887244365e-05	20
swp	0	550000	0.05507430652	0.000263185043	1.72452399845576e-05	20
neu	1	550000	0.05731981528	0.000269543669	1.74616246542457e-05	40
swp	1	550000	0.0754658798	0.0002508327942	2.36180657832461e-05	40
neu	2	550000	0.05723708948	0.000268760704	1.76761571303746e-05	60
swp	2	550000	0.0961804521	0.0002392809632	2.98061003918718e-05	60
neu	3	550000	0.0568717547936	0.0002692753856	1.76122872361714e-05	80
swp	3	550000	0.10838420524	0.000234098045	3.40990335700414e-05	80
neu	4	550000	0.056820374742	0.0002690877804	1.75273330530418e-05	100
swp	4	550000	0.11224518318	0.0002312624558	3.50867598778847e-05	100
neu	5	550000	0.0566551992184369	0.000268595587174349	1.73290789942659e-05	200
swp	5	550000	0.11756116674	0.0002318954752	3.66925689106458e-05	200
neu	6	550000	0.0580090516232465	0.000267758681563126	1.71874859568058e-05	300
swp	6	550000	0.1213572844	0.0002331668136	3.7214287160315e-05	300
neu	7	550000	0.0548206527855711	0.000265093952104208	1.64683595171682e-05	400
swp	7	550000	0.1235919661	0.0002359551178	3.78610545522399e-05	400
neu	8	550000	0.0566615504749499	0.000265159439278557	1.69900013372081e-05	500
swp	8	550000	0.12730798074	0.0002373854038	3.95777228403615e-05	500
neu	0	570000	0.057647119614	0.0002654220212	1.76585603095292e-05	20
swp	0	570000	0.056652882996	0.0002694431824	1.7768659429656e-05	20
neu	1	570000	0.0572162541404	0.0002654646264	1.72865989768388e-05	40
swp	1	570000	0.0767039852448	0.0002573157236	2.4034843808576e-05	40
neu	2	570000	0.0571791186	0.0002651197876	1.77496827409338e-05	60
swp	2	570000	0.098263400662	0.0002440227584	3.10120590055431e-05	60
neu	3	570000	0.0567933227	0.0002643327336	1.72303562612327e-05	80
swp	3	570000	0.111103297364	0.0002381431764	3.5512435003012e-05	80
neu	4	570000	0.05769282056	0.0002646753534	1.76065745421151e-05	100
swp	4	570000	0.11248335358	0.00023678132	3.57066516122977e-05	100
neu	5	570000	0.0569736686372746	0.000264374176352705	1.75686819249586e-05	200
swp	5	570000	0.1222953859	0.00023675941284	3.89454322164656e-05	200
neu	6	570000	0.0589366293346693	0.0002626321501002	1.77651969518028e-05	300
swp	6	570000	0.126419734604	0.0002381964534	4.03194701824492e-05	300
neu	7	570000	0.0564512345290581	0.00026277851002004	1.66348314492458e-05	400
swp	7	570000	0.1268775995	0.000240918132	4.06682845629156e-05	400
neu	8	570000	0.0559344405911824	0.000262001545290581	1.67476341684469e-05	500
swp	8	570000	0.13288899556	0.00024252818	4.35663810957927e-05	500
neu	0	590000	0.0597640504	0.00026738545	1.87009456619324e-05	20
swp	0	590000	0.057087488808	0.000269895221	1.76214272481495e-05	20
neu	1	590000	0.05870356436	0.0002671186268	1.85576355136587e-05	40
swp	1	590000	0.07515005502	0.0002591705556	2.37326945200912e-05	40
neu	2	590000	0.05921113118	0.000266790333	1.8637335366889e-05	60
swp	2	590000	0.09784037518	0.0002471791396	3.05631555121205e-05	60
neu	3	590000	0.06049311478	0.0002661510888	1.87965103643461e-05	80
swp	3	590000	0.10983372724	0.0002418373822	3.49715472631891e-05	80
neu	4	590000	0.06072413328	0.0002668559122	1.92079182421118e-05	100
swp	4	590000	0.11455003302	0.000239518687	3.65944634680368e-05	100
neu	5	590000	0.0594637740420842	0.000265570384368737	1.83912619237492e-05	200
swp	5	590000	0.11862879462	0.0002392171296	3.74690811591161e-05	200
neu	6	590000	0.0580540637895792	0.000265919734068136	1.76946238941306e-05	300
swp	6	590000	0.12323467508	0.0002408282606	3.89429013371588e-05	300
neu	7	590000	0.0586394072144289	0.000263626825250501	1.80489292027199e-05	400
swp	7	590000	0.12727118742	0.0002411657738	4.09507795737167e-05	400
neu	8	590000	0.058582045	0.000262742069539078	1.79670805461574e-05	500
swp	8	590000	0.13261312286	0.0002427109084	4.26258797025235e-05	500
neu	0	610000	0.05749558326	0.0002703236924	1.75201629262189e-05	20
swp	0	610000	0.055610110462	0.0002678735014	1.6778866330818e-05	20
neu	1	610000	0.057427239094	0.0002698599842	1.75446169673317e-05	40
swp	1	610000	0.077430994024	0.0002574531994	2.41595487206566e-05	40
neu	2	610000	0.05683812108	0.0002695801116	1.72611309420659e-05	60
swp	2	610000	0.09785213004	0.0002466626088	2.98491193538156e-05	60
neu	3	610000	0.0565624811	0.00026946238	1.68250245193629e-05	80
swp	3	610000	0.11142505342	0.0002403103238	3.42214582166997e-05	80
neu	4	610000	0.057774893948	0.0002694006138	1.75305639295193e-05	100
swp	4	610000	0.11526541348	0.0002400219482	3.60072284817954e-05	100
neu	5	610000	0.0579097871883768	0.000268299871743487	1.73090637294377e-05	200
swp	5	610000	0.1212863627	0.000238180612	3.72279676363019e-05	200
neu	6	610000	0.0574257508416834	0.000267768938076152	1.7140773884951e-05	300
swp	6	610000	0.1228289509	0.0002386480294	3.76186973703001e-05	300
neu	7	610000	0.0580928906472946	0.000266625777354709	1.73435193539755e-05	400
swp	7	610000	0.12504861176	0.0002403176618	3.94192612795833e-05	400
neu	8	610000	0.0581889288064128	0.000263812687174349	1.72095455813694e-05	500
swp	8	610000	0.13132087622	0.0002406961434	4.11707398357752e-05	500
neu	0	630000	0.057411247326	0.0002620460052	1.68314424901706e-05	20
swp	0	630000	0.057131164996	0.0002712693268	1.71594621644192e-05	20
neu	1	630000	0.057623674546	0.0002603781732	1.69218740549003e-05	40
swp	1	630000	0.07682892788	0.0002597283232	2.40718096709537e-05	40
neu	2	630000	0.05801371062	0.000260975509	1.69011738921184e-05	60
swp	2	630000	0.09996347726	0.000248785379	3.09521192457954e-05	60
neu	3	630000	0.0566899564622	0.0002608005694	1.63081198808114e-05	80
swp	3	630000	0.1110464115	0.0002422373394	3.47071886890362e-05	80
neu	4	630000	0.05806300216	0.0002595418552	1.71910189102465e-05	100
swp	4	630000	0.11448483722	0.000241707674	3.57574586848376e-05	100
neu	5	630000	0.0572294799338677	0.000258146981763527	1.66451099194608e-05	200
swp	5	630000	0.12289720398	0.0002397271972	3.85401441366547e-05	200
neu	6	630000	0.0570784925831663	0.000256992738476954	1.69309838461297e-05	300
swp	6	630000	0.12706930164	0.0002407045354	3.97616653656139e-05	300
neu	7	630000	0.0583585817034068	0.000257849583567134	1.7692202147211e-05	400
swp	7	630000	0.1262631877	0.0002419269578	3.98616852531758e-05	400
neu	8	630000	0.0581588273547094	0.000254443529458918	1.73318901443423e-05	500
swp	8	630000	0.129479978984	0.0002443626488	4.18319426590989e-05	500
neu	0	650000	0.05599974361	0.0002628353962	1.64018287196661e-05	20
swp	0	650000	0.05427189924	0.0002637764954	1.60864441417286e-05	20
neu	1	650000	0.05830894398	0.0002626578344	1.73167140550631e-05	40
swp	1	650000	0.07651379132	0.000254337116	2.23002777856565e-05	40
neu	2	650000	0.05877241498	0.0002627330054	1.70865154577439e-05	60
swp	2	650000	0.102334803278	0.0002432128792	3.01188390457897e-05	60
neu	3	650000	0.05674184628	0.0002625709842	1.65070097366378e-05	80
swp	3	650000	0.1150924761	0.0002381852908	3.41741421149045e-05	80
neu	4	650000	0.057066579146	0.0002612735708	1.68143163043675e-05	100
swp	4	650000	0.12151846896	0.0002372390178	3.64720536857658e-05	100
neu	5	650000	0.0578322383887776	0.000262804690380762	1.70161285876341e-05	200
swp	5	650000	0.12580681968	0.0002367431644	3.825898255093e-05	200
neu	6	650000	0.0589926428256513	0.000262033847895792	1.71307442512141e-05	300
swp	6	650000	0.13231131414	0.0002374520988	3.96151643463223e-05	300
neu	7	650000	0.0606273068877756	0.000259546295591182	1.76681047069281e-05	400
swp	7	650000	0.13416237736	0.000238225929	4.08688723814803e-05	400
neu	8	650000	0.058806724153507	0.000259350534068136	1.72178344656021e-05	500
swp	8	650000	0.13553175724	0.000240755402	4.17935846109021e-05	500
neu	0	670000	0.0546354678774	0.000266471109	1.6467467834721e-05	20
